id,state,awarded_at,defer_date,withdraw_date
75112,withdrawn,,,20/08/2022
75513,withdrawn,,,12/08/2022
75053,withdrawn,,,13/07/2022
75572,withdrawn,,,12/08/2022
75002,withdrawn,,,12/08/2022
75236,withdrawn,,,12/08/2022
75420,withdrawn,,,12/08/2022
75604,withdrawn,,,12/08/2022
145341,withdrawn,,,12/08/2022
75282,withdrawn,,,12/08/2022
103438,withdrawn,,,27/07/2022
75095,withdrawn,,,12/08/2022
75069,withdrawn,,,12/08/2022
75195,withdrawn,,,20/08/2022
103717,withdrawn,,,19/07/2022
102852,withdrawn,,,13/09/2022
76238,withdrawn,,,25/08/2022
103541,withdrawn,,,19/07/2022
103596,withdrawn,,,19/07/2022
103603,withdrawn,,,19/07/2022
87488,withdrawn,,,19/07/2022
103498,withdrawn,,,19/07/2022
103595,withdrawn,,,19/07/2022
103583,withdrawn,,,19/07/2022
103531,withdrawn,,,19/07/2022
79068,withdrawn,,,22/08/2022
74164,withdrawn,,,17/10/2022
74143,withdrawn,,,12/08/2022
74490,withdrawn,,,06/07/2022
74517,withdrawn,,,29/07/2022
74281,withdrawn,,,28/09/2022
74644,withdrawn,,,23/09/2022
103385,withdrawn,,,19/07/2022
103726,withdrawn,,,19/07/2022
80558,withdrawn,,,26/11/2021
68429,withdrawn,,,25/02/2022
68690,withdrawn,,,31/01/2022
80560,withdrawn,,,06/01/2022
68469,withdrawn,,,09/05/2022
68758,withdrawn,,,31/01/2022
68732,withdrawn,,,31/01/2022
68710,withdrawn,,,31/05/2022
68918,withdrawn,,,31/01/2022
68827,withdrawn,,,13/06/2022
68508,withdrawn,,,31/01/2022
104789,withdrawn,,,10/10/2022
103567,withdrawn,,,26/07/2022
108085,withdrawn,,,14/07/2022
107888,withdrawn,,,14/07/2022
79337,withdrawn,,,11/07/2022
107819,withdrawn,,,14/07/2022
108061,withdrawn,,,14/07/2022
107927,withdrawn,,,14/07/2022
68413,withdrawn,,,31/05/2022
107937,withdrawn,,,14/07/2022
78282,withdrawn,,,05/10/2022
77534,withdrawn,,,09/06/2022
108064,withdrawn,,,14/07/2022
77493,withdrawn,,,09/06/2022
66388,withdrawn,,,31/05/2022
66332,withdrawn,,,04/07/2022
77184,withdrawn,,,01/09/2022
77124,withdrawn,,,08/08/2022
76779,withdrawn,,,08/08/2022
76753,withdrawn,,,08/08/2022
82495,withdrawn,,,21/07/2022
80393,withdrawn,,,31/01/2022
81728,withdrawn,,,21/07/2022
80829,withdrawn,,,26/11/2021
82137,withdrawn,,,21/07/2022
80397,withdrawn,,,04/11/2021
