"Field","Code","Label"
"DEGEST","0345","Belfast Metropolitan College"
"DEGEST","0346","Northern Regional College"
"DEGEST","0347","Southern Regional College"
"DEGEST","0348","South Eastern Regional College"
"DEGEST","0349","North West Regional College"
"DEGEST","0350","South West College"
"DEGEST","0351","Leeds Conservatoire"
"DEGEST","0352","Hartpury University"
"DEGEST","0353","Amity Global Education"
"DEGEST","0354","The London School of Architecture"
"DEGEST","0355","London College of International Business Studies Ltd"
"DEGEST","0356","LCCM AU UK Limited"
"DEGEST","0357","ACM Guildford Limited"
"DEGEST","0358","UK Business College Ltd"
"DEGEST","0359","The Film Education Training Trust Limited"
"DEGEST","0360","The Institute of Ismaili Studies"
"DEGEST","0361","Newbold College"
"DEGEST","0362","Le Cordon Bleu Limited"
"DEGEST","0363","Global Banking School Limited"
"DEGEST","0400","BCNO Limited"
"DEGEST","0401","LAMDA Limited"
"DEGEST","0402","Royal Academy of Dramatic Art"
"DEGEST","0403","Study Group"
"DEGEST","0404","Royal School of Needlework (The)"
"DEGEST","0405","Institute of Art - London Limited"
"DEGEST","0406","Hult International Business School Ltd"
"DEGEST","0407","The Sherwood Psychotherapy Training Institute Limited"
"DEGEST","0408","University Centre Peterborough"
"DEGEST","0409","Central Film School London"
"DEGEST","0410","ESCP Europe Business School"
"DEGEST","0411","Harper and Keele Veterinary School"
"DEGEST","0412","The Council of the Inns of Court"
"DEGEST","0413","Navitas UK Holdings Limited"
"DEGEST","0414","The Prince's Foundation"
"DEGEST","0415","Dyson Technical Training Limited"
"DEGEST","0416","Results Consortium Limited"
"DEGEST","0417","JSA Education Group Ltd."
"DEGEST","0418","University Centre Quayside Limited"
"DEGEST","0419","David Game College Ltd"
"DEGEST","0420","Dartington Hall Trust (The)"
"DEGEST","0421","New Model Institute for Technology and Engineering (NMITE)"
"DEGEST","0422","Kaplan International Colleges U.K. Limited"
"DEGEST","0423","INTO University Partnerships Limited"
"DEGEST","0424","The College of Osteopaths"
"DEGEST","0425","Regent's University London Limited"
"DEGEST","0426","Backstage Academy (Training) Ltd"
"DEGEST","0427","British Academy of Jewellery Limited"
"DEGEST","0428","The London Interdisciplinary School Ltd"
"DEGEST","0429","Raindance Educational Services Limited"
"DEGEST","0430","The College of Health Ltd"
"DEGEST","0431","CEG UFP Limited"
"DEGEST","0432","Applied Business Academy Limited"
"DEGEST","0433","Tavistock and Portman NHS Foundation Trust"
"DEGEST","0434","University Academy 92 Limited"
"DEGEST","0435","The Engineering and Design Institute London"
"DEGEST","0436","College of Legal Practice Limited"
"DEGEST","0437","ThinkSpace Education Limited"
"DEGEST","0438","The Ashridge (Bonar Law Memorial) Trust"
"DEGEST","0439","Inchbald School of Design Limited"
"DEGEST","0440","MLA College Ltd"
"DEGEST","0441","Paris Dauphine International"
"DEGEST","1001","York College"
"DEGEST","1002","Yeovil College"
"DEGEST","1003","West Thames College"
"DEGEST","1004","Heart of Worcestershire College"
"DEGEST","1005","City of Wolverhampton College"
"DEGEST","1006","West Nottinghamshire College"
"DEGEST","1007","West Kent and Ashford College"
"DEGEST","1008","The WKCIC Group"
"DEGEST","1009","Wirral Metropolitan College"
"DEGEST","1010","The Windsor Forest Colleges Group"
"DEGEST","1011","Wiltshire College and University Centre"
"DEGEST","1012","West Herts College"
"DEGEST","1013","Weymouth College"
"DEGEST","1014","Weston College of Further and Higher Education"
"DEGEST","1015","Warwickshire College"
"DEGEST","1016","Waltham Forest College"
"DEGEST","1017","Walsall College"
"DEGEST","1018","North Warwickshire and South Leicestershire College"
"DEGEST","1019","Wakefield College"
"DEGEST","1020","Warrington & Vale Royal College"
"DEGEST","1021","United Colleges Group"
"DEGEST","1022","Tyne Coast College"
"DEGEST","1023","The Trafford College Group"
"DEGEST","1024","Northumberland College"
"DEGEST","1025","Telford College"
"DEGEST","1026","Tameside College"
"DEGEST","1027","Swindon College"
"DEGEST","1028","Sussex Downs College"
"DEGEST","1029","City of Sunderland College"
"DEGEST","1030","Stratford-upon-Avon College"
"DEGEST","1031","Strode College"
"DEGEST","1032","Stephenson College"
"DEGEST","1033","St Mary's College"
"DEGEST","1034","St Helens College"
"DEGEST","1035","South Thames Colleges Group"
"DEGEST","1036","Stockport College"
"DEGEST","1037","New College Stamford"
"DEGEST","1038","Newcastle and Stafford Colleges Group"
"DEGEST","1039","Southport College"
"DEGEST","1040","Sparsholt College"
"DEGEST","1041","Solihull College and University Centre"
"DEGEST","1042","Shrewsbury Colleges Group"
